,one_hot_encoder__Residential Instability quintiles_1,one_hot_encoder__Residential Instability quintiles_2,one_hot_encoder__Residential Instability quintiles_3,one_hot_encoder__Residential Instability quintiles_4,one_hot_encoder__Residential Instability quintiles_5,one_hot_encoder__Material Deprivation quintiles_1,one_hot_encoder__Material Deprivation quintiles_2,one_hot_encoder__Material Deprivation quintiles_3,one_hot_encoder__Material Deprivation quintiles_4,one_hot_encoder__Material Deprivation quintiles_5,one_hot_encoder__Ethnic Concentration quintiles_1,one_hot_encoder__Ethnic Concentration quintiles_2,one_hot_encoder__Ethnic Concentration quintiles_3,one_hot_encoder__Ethnic Concentration quintiles_4,one_hot_encoder__Ethnic Concentration quintiles_5,remainder__Mental Health Score,remainder__Mental Health Binary,remainder__High Education Rate,remainder__Rented Rate,remainder__Visible Minority Rate,remainder__Visible Minority Binary,remainder__Work Stress Score,remainder__Work Stress binary,remainder__Active transportation,remainder__Rate of Active population,remainder__Rate of Daily Smokers,remainder__Food Insecurity binary,remainder__Overweight,remainder__Obese,remainder__Instability_Deprivation,remainder__log_unemployment_rate,remainder__log_recent_immigrant_rate,remainder__log_median_age,remainder__log_average_income
0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.943070458,0.0,57.9439,33.0677,35.0245,1.0,3.035799951,1.0,58.1477,57.1032,9.8821,0.0,31.985,21.0068,0.0,2.0149030205422647,0.6749832099322741,3.713572066704308,11.8527563101461
1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.599990489,1.0,40.9441,52.1368,43.161,1.0,2.975207542,1.0,60.2991,55.7457,14.0066,1.0,29.8588,22.5498,0.0,1.9459101490553132,1.2484967382054017,3.7256934272366524,11.623067170999416
2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.93910635,0.0,70.3297,15.2174,23.0983,0.0,2.934991152,1.0,53.0402,55.3584,5.8207,0.0,34.7998,15.5061,0.0,0.7884573603642703,1.03425152950772,3.8543938925915096,12.57523212793934
3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.855775968,0.0,58.9525,57.5448,16.2597,0.0,3.027674855,1.0,59.1271,57.8103,8.3292,0.0,31.9068,23.0164,0.0,2.174751721484161,0.9002426474525476,3.7954891891721947,12.04316384004063
4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.891777235,0.0,65.6472,24.6914,11.8745,0.0,3.090062733,1.0,61.0675,60.6572,8.7647,0.0,27.1905,20.1354,0.0,1.5040773967762742,0.18157127540325052,3.713572066704308,12.385195315503626
5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.819045897,0.0,69.7674,23.8796,11.5406,0.0,3.039345181,1.0,57.2306,58.2438,7.3622,0.0,32.6907,20.3331,0.0,2.174751721484161,1.4621900201231477,3.7954891891721947,12.458914280647937
6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.885072631,0.0,60.5473,41.3934,17.1621,0.0,3.079123469,1.0,60.4093,58.9439,9.5314,0.0,30.0205,22.5679,0.0,1.7749523509116738,1.101707493575412,3.7013019741124933,12.099943850376777
7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.758639689,0.0,50.7299,46.5909,22.0215,0.0,3.040060309,1.0,59.2809,57.6898,9.1117,0.0,31.5141,23.972,0.0,2.2823823856765264,1.2134576803371504,3.7328963395307104,11.80090048700809
8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.739475921,0.0,49.3779,40.0614,39.5126,1.0,3.002782552,1.0,59.9886,57.6545,8.8956,0.0,29.5906,22.3443,0.0,2.028148247292285,1.490744462476355,3.66612246699132,11.695015843377853
9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.685040747,1.0,47.1077,37.5847,44.6468,1.0,2.987134117,1.0,59.3618,56.7995,11.1414,0.0,29.8437,23.0553,0.0,1.9315214116032138,1.109123518293757,3.681351187693145,11.740192885435366
10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.878765275,0.0,60.7232,35.5496,35.6311,1.0,2.983962771,1.0,59.212,57.0256,10.9544,0.0,35.0061,20.4292,1.0,1.8718021769015913,1.2951928125895977,3.6686767467964168,11.854668604515453
11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.501235025,1.0,47.7188,55.9643,48.9873,1.0,2.939700882,1.0,58.8526,53.2618,15.3665,1.0,29.5635,21.9779,0.0,2.3978952727983707,1.1061173881538833,3.648057459593681,11.57645705088114
12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.764742434,0.0,56.0,30.8749,32.2078,1.0,2.963615749,1.0,58.4057,56.5782,10.4911,0.0,32.3324,22.8072,0.0,1.9021075263969205,1.524250325872649,3.6988297849671046,11.828001206920378
13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.735766966,0.0,40.8627,34.1748,52.5593,1.0,2.878730513,1.0,61.1771,56.0903,13.3521,1.0,30.1918,24.8688,0.0,2.066862759472976,0.8398415597107487,3.673765816303888,11.635466472836729
14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.625068528,1.0,43.4715,45.4103,47.6535,1.0,2.910517515,1.0,60.3339,54.1276,12.1884,1.0,27.5892,24.6684,0.0,2.0149030205422647,1.0402767116551463,3.634951112088381,11.566567607802202
15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.658490356,1.0,54.6602,36.6408,41.7434,1.0,3.01881924,1.0,56.8685,55.5253,10.8386,0.0,29.9691,21.071,0.0,2.2082744135228043,0.8762600908178015,3.7184382563554808,11.674534294953048
16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.664130962,1.0,52.4928,38.0059,37.0561,1.0,3.007107438,1.0,57.3516,52.6228,11.0468,1.0,31.6253,20.1194,0.0,1.840549633397487,1.0461604286656854,3.713572066704308,11.647930810916653
17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.755572723,0.0,53.8302,41.7307,28.4002,1.0,3.024366365,1.0,61.148,57.721,10.1459,0.0,28.2704,21.3519,0.0,2.3608540011180215,1.0370914320198592,3.6609942506244004,11.820557443578007
18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.650479623,1.0,50.5735,47.8216,24.6363,0.0,3.01562009,1.0,57.1524,54.4654,12.2747,0.0,31.243,22.4273,0.0,2.3978952727983707,0.8710422884009864,3.7819143200811256,11.753858618805113
19,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.880322213,0.0,57.0761,23.7653,22.9895,0.0,3.01418465,1.0,60.1039,56.7415,7.0328,0.0,28.3913,18.8149,0.0,1.824549292051046,1.010946151915537,3.713572066704308,12.027187284248495
20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.766255054,0.0,49.4061,38.1226,26.69,1.0,3.06074692,1.0,58.6233,56.017,10.6597,0.0,31.7626,21.8006,0.0,1.7404661748405046,1.4273883186548522,3.686376323895818,11.706957328528313
21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.594009217,1.0,39.7219,75.7813,64.8025,1.0,2.733698234,0.0,67.0943,53.0709,14.4341,1.0,24.436,18.2177,0.0,2.6390573296152584,2.628530689870876,3.6375861597263857,11.147454102879204
22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.755951246,0.0,53.0135,25.476,22.9492,0.0,3.048131006,1.0,57.5711,55.8866,9.2403,0.0,29.9408,20.6899,0.0,1.6486586255873816,0.790908898342441,3.6938669956249757,11.7769629695596
23,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.758811804,0.0,55.0898,30.4472,26.5549,1.0,3.028693415,1.0,57.9514,57.3267,8.0425,0.0,30.577,18.01,0.0,1.8718021769015913,1.0568175990110642,3.676300671907076,12.001492977256756
24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.720297332,0.0,55.0562,43.9628,34.0503,1.0,3.072364887,1.0,58.4582,56.1289,10.8979,0.0,33.2363,19.2695,0.0,2.1400661634962708,1.513433491700299,3.7471483622379123,11.795211371521646
25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.404520251,1.0,39.4119,72.3397,48.324,1.0,2.900877872,1.0,54.9242,50.6472,19.6069,1.0,32.9326,24.0742,0.0,2.272125885509337,1.6495044216471837,3.6402142821326553,11.298991221256886
26,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.823592276,0.0,46.9976,21.2822,33.5873,1.0,3.043849163,1.0,56.1878,55.5851,6.3897,0.0,35.2897,21.9424,0.0,1.9459101490553132,0.5583006377901785,3.728100167267218,11.749741651945413
27,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.453636749,1.0,39.3339,44.6286,34.2384,1.0,2.935186849,1.0,53.0507,50.3917,13.3156,1.0,32.952,21.8448,0.0,2.0918640616783932,0.9489127986914101,3.7400477406883357,11.54413675159251
28,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.857652185,0.0,50.3371,17.1952,34.2992,1.0,3.040992684,1.0,56.602,54.6241,6.5182,0.0,32.8426,18.9166,0.0,2.0014800002101243,0.7833991345369717,3.735285826928092,11.858384647746478
29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.762228008,0.0,46.7836,21.5534,28.0832,1.0,2.961064916,1.0,55.7601,56.3728,5.5652,0.0,33.107,16.9508,0.0,1.5260563034950492,0.6037693694087286,3.7376696182833684,11.815902673431513
30,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.864437498,0.0,55.5509,16.6667,29.5522,1.0,3.069835383,1.0,60.2266,56.9482,6.7101,0.0,31.9481,18.1592,0.0,2.028148247292285,0.5579000311519196,3.713572066704308,11.884271800570595
31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.605566278,1.0,44.6124,52.6055,35.1132,1.0,3.019535115,1.0,56.1248,51.8347,14.7667,1.0,34.2581,19.9505,0.0,2.2925347571405443,1.7085046638432964,3.7376696182833684,11.582894621602378
32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.478266024,1.0,40.0592,55.9453,34.932,1.0,2.858145796,1.0,56.4737,51.7657,13.4586,1.0,31.6958,22.9755,0.0,1.9021075263969205,1.3228752132502357,3.730501128804756,11.587828410049223
33,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.788331069,0.0,45.2286,21.2428,24.8459,0.0,2.965833556,1.0,53.9874,53.3298,6.8478,0.0,31.5667,18.4413,0.0,1.0296194171811581,1.030012197175853,3.7909846770510898,11.982627344944232
34,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.686090176,1.0,44.0724,21.7553,24.3113,0.0,2.949951087,1.0,52.1613,54.2452,6.8555,0.0,32.7428,20.0316,0.0,1.9600947840472698,0.8233856574836745,3.8155121050473024,11.87638602058422
35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.404239518,1.0,36.5003,59.6955,41.5254,1.0,2.824805983,1.0,55.0657,47.8571,13.2186,1.0,29.649,20.3515,0.0,2.451005098112319,1.5050102948248747,3.758871825933971,11.557003226046003
36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.740535725,0.0,53.7985,64.8783,85.2518,1.0,2.674232372,0.0,61.1214,55.3604,7.8843,1.0,19.6995,14.2437,0.0,2.6390573296152584,2.422969187406725,3.6054978451748854,11.19162389761274
37,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.255928811,1.0,30.1709,70.3042,51.0146,1.0,2.865448075,1.0,52.9977,45.1422,18.6779,1.0,33.5516,22.5211,0.0,2.5257286443082556,1.805152711339051,3.6788291182604347,11.28837852686928
38,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.565786409,1.0,35.3196,35.4972,30.7809,1.0,2.923125712,1.0,50.4671,50.445,10.4541,1.0,32.0637,21.1369,0.0,2.0412203288596382,1.675768576723376,3.7376696182833684,11.66140103578608
